grid_id,cell_code,observation_date,observation_period,latitude,longitude,nighttime_radiance_mean,nighttime_radiance_median,nighttime_radiance_max,nighttime_radiance_min,nighttime_radiance_std,units,valid_pixel_count,native_spatial_resolution,spatial_resolution,source_dataset,source_product,provenance_type
1,CHE_G001,2021-04-01,2021-04-01/2021-04-30,12.925,80.175,17.634,16.76,30.92,7.84,5.2637,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
2,CHE_G002,2021-04-01,2021-04-01/2021-04-30,12.925,80.225,20.8773,20.44,43.69,8.65,8.0174,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
3,CHE_G003,2021-04-01,2021-04-01/2021-04-30,12.925,80.275,6.3122,3.275,24.53,1.66,6.1799,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
4,CHE_G004,2021-04-01,2021-04-01/2021-04-30,12.925,80.325,1.2993,1.23,2.14,0.88,0.2654,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
5,CHE_G005,2021-04-01,2021-04-01/2021-04-30,12.975,80.175,27.726,24.12,104.8,11.35,14.9133,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
6,CHE_G006,2021-04-01,2021-04-01/2021-04-30,12.975,80.225,23.98,24.245,52.92,8.8,7.9218,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
7,CHE_G007,2021-04-01,2021-04-01/2021-04-30,12.975,80.275,12.5318,5.605,40.88,2.24,10.6505,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
8,CHE_G008,2021-04-01,2021-04-01/2021-04-30,12.975,80.325,1.6401,1.58,2.6,1.11,0.372,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
9,CHE_G009,2021-04-01,2021-04-01/2021-04-30,13.025,80.175,27.0956,27.06,47.41,11.9,6.0782,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
10,CHE_G010,2021-04-01,2021-04-01/2021-04-30,13.025,80.225,28.0773,28.135,45.28,10.2,6.0449,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
