grid_id,cell_code,latitude,longitude,cell_area_km2,total_road_length_km,road_density_km_per_km2,motorway_km,trunk_km,primary_km,secondary_km,tertiary_km,residential_km,service_km,mapped_building_count,building_density_per_km2,calibration_footprint_m2,estimated_building_area_km2,estimated_building_coverage_percent,total_poi_count,healthcare_poi_count,education_poi_count,public_transport_poi_count,financial_commercial_poi_count,other_amenity_poi_count,access_timestamp,spatial_crs,source_provider,license,provenance_type
1,CHE_G001,12.925,80.175,29.995,532.996,17.7695,0.0,0.0,37.625,0.0,28.454,435.804,31.113,23458,782.06,141.4,3.317,11.06,163,91,14,31,27,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
2,CHE_G002,12.925,80.225,29.994,495.293,16.5131,0.0,0.0,34.894,0.0,34.758,356.677,68.964,14078,469.36,141.4,1.9906,6.64,105,46,19,20,20,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
3,CHE_G003,12.925,80.275,29.994,79.148,2.6388,0.0,0.0,7.598,0.0,1.435,56.123,13.992,1767,58.91,141.4,0.2499,0.83,12,0,1,10,1,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
4,CHE_G004,12.925,80.325,29.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
5,CHE_G005,12.975,80.175,29.989,497.341,16.5841,0.0,14.016,20.837,1.387,44.734,356.501,59.866,17694,590.02,141.4,2.5019,8.34,193,53,15,57,68,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
6,CHE_G006,12.975,80.225,29.988,599.814,20.0018,0.0,0.0,37.945,11.227,39.737,415.07,95.836,24022,801.05,141.4,3.3967,11.33,222,57,24,89,52,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
7,CHE_G007,12.975,80.275,29.988,223.59,7.456,0.0,0.0,14.128,6.959,8.644,171.332,22.527,9130,304.46,141.4,1.291,4.31,161,76,2,43,40,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
8,CHE_G008,12.975,80.325,29.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
9,CHE_G009,13.025,80.175,29.983,581.388,19.3906,0.0,0.742,24.39,20.361,40.18,425.017,70.698,26294,876.96,141.4,3.718,12.4,192,81,18,67,26,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
10,CHE_G010,13.025,80.225,29.983,609.28,20.3208,0.0,1.573,39.163,62.326,54.18,346.768,105.27,31082,1036.65,141.4,4.395,14.66,485,167,16,162,140,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
11,CHE_G011,13.025,80.275,29.982,303.293,10.1158,0.0,0.0,20.806,28.541,29.134,183.657,41.156,12947,431.83,141.4,1.8307,6.11,262,102,11,119,30,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
12,CHE_G012,13.025,80.325,29.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
13,CHE_G013,13.075,80.175,29.977,700.476,23.3671,0.0,11.959,37.487,20.09,63.497,500.394,67.05,23089,770.22,141.4,3.2648,10.89,167,65,6,46,50,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
14,CHE_G014,13.075,80.225,29.977,643.776,21.4757,0.0,0.0,42.58,47.652,50.589,431.11,71.844,32989,1100.48,141.4,4.6646,15.56,413,187,24,117,85,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
15,CHE_G015,13.075,80.275,29.976,501.858,16.742,0.0,4.718,38.438,58.959,34.311,230.356,135.076,19604,653.99,141.4,2.772,9.25,460,152,17,146,145,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
16,CHE_G016,13.075,80.325,29.975,4.688,0.1564,0.0,0.0,0.0,0.0,0.0,0.221,4.467,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2026-09-03T09:25:28.596075+00:00,EPSG:32644 (UTM 44N),OpenStreetMap Contributors,Open Database License (ODbL) 1.0,CALCULATED
